id,show_name,show_date,start_time,end_time,theater,section,row,seat,accessible_seat,paid,payment_method
1,nulla,"2011-00-01 20:53:00","2010-06-25 14:56:00","2011-02-13 24:40:00",theater2,V,1,89,true,false,cash
2,aliquam,"2018-05-21 14:24:00","2016-06-01 04:56:00","2015-09-14 03:54:00",theater2,K,2,67,true,false,check
3,diam,"2019-00-19 12:45:00","2010-06-28 13:31:00","2019-00-19 23:22:00",theater1,u,3,48,false,true,check
4,dui,"2011-08-24 03:45:00","2015-00-12 04:42:00","2019-00-06 24:59:00",theater2,L,4,60,true,true,credit
5,ut,"2010-04-18 23:58:00","2012-08-26 24:47:00","2012-00-05 04:47:00",theater1,d,5,60,false,false,check
6,libero,"2011-03-08 23:54:00","2011-00-24 24:40:00","2017-02-00 04:48:00",theater2,O,6,83,false,false,check
7,rutrum,"2016-05-11 24:20:00","2015-07-23 14:41:00","2010-08-27 11:59:00",theater1,k,7,97,false,false,check
8,eu,"2012-03-28 24:33:00","2010-02-24 12:58:00","2019-05-21 10:45:00",theater2,a,8,26,false,true,credit
9,interdum,"2016-09-11 03:34:00","2016-01-22 24:28:00","2019-01-08 24:30:00",theater1,B,9,06,false,true,credit
10,viverra,"2012-06-24 02:47:00","2017-07-28 23:36:00","2019-06-29 02:45:00",theater2,C,10,25,false,false,cash
11,massa,"2015-00-09 03:48:00","2016-08-02 23:40:00","2015-02-28 04:56:00",theater2,t,11,92,true,false,cash
12,nulla,"2018-02-03 02:47:00","2017-06-21 03:55:00","2010-09-23 04:52:00",theater2,y,12,28,true,false,check
13,faucibus,"2010-07-01 23:36:00","2015-04-26 03:56:00","2012-03-28 23:52:00",theater2,X,13,45,true,true,credit
14,sapien,"2016-04-20 04:58:00","2010-09-25 11:51:00","2014-06-08 03:59:00",theater2,R,14,16,true,true,check
15,sit,"2019-05-19 13:25:00","2015-02-00 12:56:00","2015-09-15 14:59:00",theater2,a,15,59,true,false,check
16,convallis,"2016-03-29 11:48:00","2015-01-22 04:11:00","2011-04-29 23:47:00",theater1,J,16,94,false,false,check
17,dolor,"2017-00-13 12:51:00","2011-06-13 22:56:00","2011-00-24 24:56:00",theater2,g,17,60,true,false,check
18,mauris,"2012-03-16 22:43:00","2019-00-13 10:53:00","2016-00-22 24:51:00",theater2,k,18,82,false,false,check
19,posuere,"2012-03-16 24:40:00","2010-02-08 24:57:00","2015-04-20 14:50:00",theater2,L,19,33,false,true,credit
20,convallis,"2018-00-13 23:52:00","2018-04-16 21:54:00","2010-03-15 03:53:00",theater2,t,20,84,false,false,check
21,nisi,"2017-01-08 14:51:00","2019-02-27 24:51:00","2017-06-14 24:51:00",theater2,z,21,97,true,true,credit
22,mi,"2017-08-20 24:38:00","2013-09-20 23:43:00","2019-01-29 23:44:00",theater2,S,22,78,false,false,check
23,praesent,"2011-03-25 23:12:00","2013-09-28 12:50:00","2019-01-08 22:22:00",theater2,D,23,66,false,false,cash
24,a,"2014-00-10 04:27:00","2019-00-12 24:53:00","2018-04-28 22:58:00",theater2,E,24,50,false,true,cash
25,hendrerit,"2013-01-29 13:54:00","2011-06-08 04:28:00","2013-03-10 24:21:00",theater2,w,25,63,true,false,credit
26,blandit,"2019-05-25 04:38:00","2010-06-25 23:43:00","2012-05-02 22:45:00",theater1,Y,26,62,true,true,check
27,turpis,"2017-00-26 24:46:00","2011-07-27 12:50:00","2013-07-25 22:28:00",theater2,D,27,12,true,true,credit
28,mauris,"2015-06-04 12:57:00","2018-05-04 24:44:00","2015-04-25 02:53:00",theater1,M,28,56,true,true,credit
29,integer,"2019-01-28 24:59:00","2019-07-06 14:43:00","2012-08-12 22:59:00",theater2,Q,29,94,false,true,cash
30,tortor,"2018-03-25 21:48:00","2011-02-09 12:38:00","2012-08-28 02:58:00",theater2,s,30,67,true,true,credit
31,primis,"2015-03-23 21:56:00","2015-07-24 24:58:00","2011-03-08 24:57:00",theater2,P,31,23,false,true,credit
32,orci,"2019-06-03 24:51:00","2010-09-27 23:57:00","2010-00-22 04:50:00",theater2,e,32,60,true,true,check
33,lacinia,"2014-09-15 23:52:00","2017-08-04 14:52:00","2013-08-00 23:50:00",theater1,V,33,47,false,false,cash
34,at,"2015-06-03 23:44:00","2017-00-07 14:46:00","2019-05-16 24:52:00",theater2,k,34,73,true,false,credit
35,maecenas,"2014-01-19 24:09:00","2013-02-11 10:51:00","2017-06-22 14:56:00",theater1,l,35,37,true,false,check
36,lectus,"2017-08-28 02:45:00","2019-09-25 14:40:00","2013-01-18 10:58:00",theater1,m,36,69,true,true,credit
37,mi,"2016-09-03 14:50:00","2017-07-27 24:48:00","2010-09-23 24:54:00",theater1,C,37,18,true,true,cash
38,consequat,"2014-00-21 23:53:00","2010-07-19 12:50:00","2012-07-12 24:20:00",theater2,z,38,95,false,true,cash
39,amet,"2013-07-08 23:45:00","2012-06-01 04:52:00","2012-03-28 10:30:00",theater2,I,39,60,true,true,credit
40,ullamcorper,"2010-03-17 24:41:00","2011-02-12 23:57:00","2018-02-17 24:45:00",theater2,j,40,75,false,true,credit
41,sapien,"2013-08-01 24:56:00","2011-07-27 10:58:00","2014-07-27 13:59:00",theater1,c,41,70,true,true,credit
42,duis,"2011-00-27 13:51:00","2012-08-21 24:55:00","2012-01-22 14:42:00",theater2,K,42,92,true,false,check
43,arcu,"2016-05-06 23:52:00","2011-03-18 01:54:00","2013-07-23 23:46:00",theater2,e,43,37,false,true,cash
44,convallis,"2011-07-28 12:27:00","2013-07-06 04:50:00","2016-02-22 04:00:00",theater1,W,44,36,true,true,credit
45,cras,"2015-04-21 03:24:00","2014-06-29 24:08:00","2011-03-10 24:47:00",theater1,e,45,52,true,false,credit
46,ut,"2018-03-08 23:58:00","2015-04-13 24:52:00","2015-06-16 24:53:00",theater1,u,46,10,true,false,cash
47,natoque,"2011-03-08 14:42:00","2012-05-11 24:57:00","2010-04-21 11:55:00",theater1,s,47,84,true,true,check
48,curae,"2015-03-26 12:54:00","2010-01-18 23:26:00","2013-01-28 00:59:00",theater1,n,48,60,false,false,credit
49,morbi,"2016-01-09 22:57:00","2013-08-25 24:40:00","2011-03-15 04:09:00",theater2,S,49,71,true,false,credit
50,morbi,"2014-00-15 04:47:00","2012-04-26 13:31:00","2011-02-00 24:15:00",theater2,P,50,53,false,true,cash
51,eget,"2013-03-20 21:50:00","2013-05-13 22:53:00","2015-03-25 02:06:00",theater1,k,51,54,true,true,check
52,quam,"2015-06-08 22:22:00","2015-08-27 04:58:00","2019-07-27 23:55:00",theater1,e,52,68,true,false,credit
53,est,"2013-03-24 23:32:00","2016-07-28 04:42:00","2015-09-18 01:59:00",theater2,w,53,13,true,false,check
54,ultrices,"2014-05-04 04:24:00","2010-05-25 03:13:00","2013-07-09 23:32:00",theater2,G,54,49,false,true,cash
55,sit,"2018-09-28 23:41:00","2017-04-11 24:42:00","2018-01-02 04:56:00",theater1,f,55,51,true,true,credit
56,morbi,"2014-07-27 04:49:00","2016-03-07 24:52:00","2016-08-29 12:50:00",theater2,t,56,75,true,false,cash
57,luctus,"2017-05-25 04:47:00","2010-08-05 24:52:00","2017-09-08 23:15:00",theater1,M,57,27,true,true,check
58,integer,"2015-06-28 14:44:00","2013-05-23 01:14:00","2017-02-29 13:41:00",theater1,n,58,18,true,true,cash
59,vel,"2018-09-00 23:43:00","2018-07-27 13:55:00","2010-01-23 10:23:00",theater2,L,59,41,false,true,check
60,amet,"2010-05-27 02:43:00","2016-09-26 20:49:00","2012-02-21 23:46:00",theater1,C,60,39,false,false,cash
61,in,"2018-00-26 11:50:00","2017-03-25 04:47:00","2019-07-18 20:37:00",theater2,r,61,09,false,false,credit
62,sit,"2017-08-16 23:56:00","2014-07-22 14:58:00","2014-09-28 24:57:00",theater2,p,62,79,true,true,cash
63,platea,"2010-00-29 12:54:00","2014-01-06 24:51:00","2015-03-29 21:59:00",theater2,F,63,96,true,false,credit
64,consequat,"2018-07-25 04:55:00","2011-01-08 24:57:00","2015-01-24 24:48:00",theater1,N,64,61,false,true,check
65,lorem,"2017-00-17 23:57:00","2011-00-10 23:55:00","2017-04-23 24:52:00",theater2,n,65,65,false,false,credit
66,donec,"2010-07-08 22:58:00","2015-04-08 13:30:00","2015-09-17 04:51:00",theater2,k,66,59,false,false,cash
67,non,"2012-09-24 24:47:00","2015-01-16 02:42:00","2019-04-14 21:39:00",theater2,P,67,16,true,false,cash
